uniprot	enst
P42681	ENST00000264316
E7EWE7	ENST00000427125
Q9UPI3	ENST00000238667
Q9UPI3	ENST00000539311
Q9HAT1	ENST00000309664
Q9HAT1	ENST00000379709
Q96KK3	ENST00000306117
Q96KK3	ENST00000537075
Q13410	ENST00000244513
P51654-2	ENST00000631057
P13688	ENST00000161559
P13688	ENST00000352591
P13688	ENST00000358394
P13688	ENST00000403444
P13688	ENST00000403461
P13688	ENST00000599389
O00592-2	ENST00000322985
E7EW83	ENST00000443157
D9ZHQ7	ENST00000556918
Q8NC67	ENST00000303155
Q8NC67	ENST00000562435
Q86YT5-4	ENST00000381074
Q2M2I5	ENST00000264651
P54219	ENST00000265808
P54219	ENST00000276373
P54219	ENST00000381608
P54219	ENST00000437980
P54219	ENST00000440926
P54219	ENST00000519026
P18627	ENST00000203629
P18627	ENST00000441671
P21589-2	ENST00000369651
P11168	ENST00000314251
P05186	ENST00000374832
P05186	ENST00000374840
P05186	ENST00000539907
P05186	ENST00000540617
E9PFU5	ENST00000409489
A0A087WYX0	ENST00000615021
Q9NS82	ENST00000253188
Q9C0H2	ENST00000258796
Q9C0H2	ENST00000403167
Q9C0H2	ENST00000407643
Q8WVV5	ENST00000352867
Q8WVV5	ENST00000356709
Q8WVV5	ENST00000416795
Q8WVV5	ENST00000432533
Q8WVV5	ENST00000469230
Q8WVV5	ENST00000482536
Q8WV83	ENST00000245680
E7EW95	ENST00000508946
Q6XYQ8	ENST00000228567
O15403	ENST00000327268
O15403	ENST00000580666
I3L454	ENST00000570996
Q9Y5X5	ENST00000308744
Q9Y5X5	ENST00000344413
Q9Y5X5	ENST00000358749
Q9Y5X5	ENST00000395999
Q86YT5-2	ENST00000573648
Q86UE6	ENST00000295057
Q86UE6	ENST00000409148
Q86UE6	ENST00000417012
Q86UE6	ENST00000433224
Q86SJ2	ENST00000266581
Q86SJ2	ENST00000429635
Q86SJ2	ENST00000550413
Q16625	ENST00000355237
Q16625	ENST00000396442
Q16625	ENST00000538151
O43581-5	ENST00000535826
B7Z589	ENST00000475075
A0A0G2JMZ8	ENST00000615870
A0A0G2JMZ8	ENST00000617110
A0A0G2JMZ8	ENST00000620655
A0A087WX92	ENST00000620436
Q8IZM9-2	ENST00000354886
